PeakID	Title	Scans	RT left(min)	RT (min)	RT right (min)	Precursor m/z	Height	Area	Model masses	Adduct	Isotope	Comment	Reference RT	Reference m/z	Formula	Ontology	InChIKey	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	RT similarity	Dot product	Reverse dot product	Fragment presence %	Total score	S/N	MS1 isotopes	MSMS spectrum
0	Unknown	1793	0.4513667	0.5686833	0.7642167	203.2222	6679.0625	38100.22265625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	196.3815	203.10628:24 203.20688:20 203.22225:1919 204.22687:234 205.08652:37 205.15812:50 205.22974:18 206.91559:48 207.03264:134 207.17795:16	55.05444:93 56.04956:32 58.06504:2038 67.0541:11 70.06444:134 70.96004:7 72.08087:965 83.81263:10 84.08118:4335 84.95807:12 95.08556:13 97.06489:7 98.09813:24 98.10298:7 105.07055:12 111.74697:10 112.11307:9239 112.97519:12 113.11485:12 119.08323:10 127.12201:13 128.72745:8 129.1393:2442 157.08804:15 161.09529:26 167.03922:17 167.04936:10 170.11037:12 175.1138:8 185.12875:9 203.10596:17 203.22192:14
1	Unknown	1804	0.5121334	0.5820333	0.7307333	112.1124	2211.625	12553.2353515625	null	[M+H]+	M + 0	found in higher mz's MsMs_10; found in higher mz's MsMs_2; found in higher mz's MsMs_0	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	154.2245	112.00551:23 112.1124:685 112.95472:62 112.96618:63 113.03391:23 113.96234:260 114.09004:51 115.96355:51 116.90815:46 116.97705:59	53.93785:20 55.05444:220 56.0503:55 67.04447:35 70.06526:99 70.94105:124 70.97903:28 84.08118:2168 97.08904:11 112.11203:501
2	Unknown	1804	0.475	0.5820333	0.7478167	129.1397	2401.875	14855.916015625	null	[M+H]+	M + 0	found in higher mz's MsMs_10; found in higher mz's MsMs_0	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	71.74742	129.1018:46 129.13968:551 130.00782:72 130.06371:28 130.14086:97 130.9585:47 130.96747:55 131.92954:90 132.00048:33 133.92774:55	52.00585:10 55.05444:272 55.93513:39 56.04883:200 58.0643:594 59.93006:64 67.05169:28 69.07185:36 70.06608:84 72.08004:249 72.93731:10 75.02918:10 84.08028:3548 86.09581:28 92.89876:54 112.11307:1213 128.06099:26 129.14043:43
3	Unknown	1804	0.4817333	0.5820333	0.67645	295.1201	1636	6829.7138671875	null	[M+H]+	M + 0	similar chromatogram in higher mz_4	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	32.41185	295.12006:661 296.12291:64 297.08184:78 297.11563:373 298.12187:58 299.06199:27 299.09081:21 299.11454:111 300.11736:25	56.04884:30 57.06916:29 60.93292:10 70.06528:67 72.07923:23 84.0812:161 93.06894:10 94.06457:10 99.93393:30 110.07352:31 114.97935:24 116.00016:39 127.11983:37 128.00224:45 128.99344:45 129.13821:21 131.00977:32 138.061:17 143.00552:17 143.01256:51 145.0266:60 146.93941:10 154.01447:38 155.01122:23 156.02588:16 157.02666:153 159.04523:32 161.83524:10 163.99985:10 165.87949:22 169.02539:29 171.01556:41 171.0412:85 173.03799:119 173.05864:98 181.03163:50 183.04066:438 185.02345:75 185.05812:806 186.06766:28 186.92174:18 187.07455:65 198.05392:14 199.04707:19 200.06352:20 202.08466:19 204.89816:13 204.94588:10 207.08739:10 212.08275:38 214.08035:36 214.92743:46 224.08408:24 226.10045:48 228.09476:55 228.10068:209 230.12012:20 238.08568:24 240.09711:22 240.1366:26 241.04283:10 242.11243:44 253.09293:22 255.11028:71 255.1275:58 257.12936:380 259.1185:36 259.14218:938 277.14059:18 295.12146:78
4	Unknown	1804	0.4176	0.5820333	0.6799167	297.1156	1030.1875	4211.90869140625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	16.07674	297.08184:78 297.11563:373 298.12187:58 299.06199:27 299.09081:21 299.11454:111 300.11736:25 301.11335:509 301.1865:22 302.04284:80	
5	Unknown	1804	0.4209333	0.5820333	0.741	395.4088	1591.3125	7542.1650390625	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	254.8434	395.40877:335 396.41524:93 397.25299:17 400.01266:22 400.15972:21	
6	Unknown	1815	0.5324166	0.5955667	0.72055	102.0127	2680.25	12311.1376953125	null	[M+H]+	M + 0	similar chromatogram in higher mz_13; similar chromatogram in higher mz_14; similar chromatogram in higher mz_15; similar chromatogram in higher mz_4; similar chromatogram in higher mz_9; similar chromatogram in higher mz_16	null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	84.58636	101.94733:58 101.96416:71 102.01267:855 102.95344:38 102.96935:71 103.01611:26 103.95649:28 104.00847:799 105.01061:24 105.06989:62 105.96205:316 106.9928:68	55.93441:45 55.9564:27 56.9633:51 59.93083:81 60.98726:2452 69.93405:10 74.93666:20 75.19996:10 78.99729:78 88.99318:125
7	Unknown	1815	0.5324166	0.5955667	0.7307333	141.9586	1527.5625	10511.2529296875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	27.395	141.92122:69 141.9586:408 142.96014:19 143.08441:30 143.92051:54 143.95815:199 144.08403:23 145.01629:28 145.03399:37 145.91603:24 145.95511:49 146.1648:194 146.95399:36	
8	Unknown	1815	0.4648833	0.5955667	0.67645	301.1116	2029.375	7798.2470703125	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	43.7851	300.85991:20 301.11331:744 302.11607:140 302.88671:21 303.11195:699 303.14609:55 304.11289:150 304.87752:14 305.10692:429 305.14631:541 305.18912:19 306.10944:84	56.04811:20 58.06506:86 68.05723:20 72.07923:69 73.06463:20 84.0812:1354 85.08282:27 98.09427:65 110.09924:76 112.1131:51 115.12656:105 127.12315:886 129.13712:44 174.95692:20 179.05203:20 181.15431:20 184.18036:349 191.05486:102 199.18819:36 201.20628:27 220.07845:64 223.56052:20 225.01688:21 233.03651:21 234.0957:56 246.09296:38 248.11006:45 256.0553:78 263.11823:21 265.10962:45 265.13675:576 267.0108:31 270.07425:75 283.05161:131 283.25122:21 290.4584:21 299.09561:57 301.11478:276
9	Unknown	1815	0.5357667	0.5955667	0.67645	303.1119	1857.5	7094.513671875	null	[M+H]+	M + 0		null	null	null	null	null	null	999	False	False	False	null	null	null	null	null	71.28652	302.88671:21 303.11195:699 303.14609:55 304.11289:150 304.87752:14 305.10692:429 305.14631:541 305.18912:19 306.10944:84 306.15403:107 307.10672:103 307.14452:203 307.86306:20 308.10907:22	58.06655:36 70.06445:141 72.07922:54 84.08209:1910 98.09911:62 110.0694:49 110.09614:55 115.12233:62 123.11658:20 127.12313:914 129.13821:38 157.10649:53 175.1281:20 177.16812:20 178.90121:20 182.1055:20 184.18033:295 193.05048:60 199.19092:38 210.08881:21 212.08415:21 212.87148:20 220.07697:21 222.8575:37 224.08553:51 226.10188:104 228.08585:21 228.88898:28 234.08968:47 248.10695:35 253.11005:21 257.13718:56 265.13513:216 266.89066:46 267.13412:391 270.81738:21 272.06906:155 285.04739:22 301.08752:21 303.10825:280 303.21066:21
