PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum,Predicted Label,Prediction Probability
2024,Unknown,19415,10.36165,10.49353,10.68748,161.0592,11838.5,61491.73828125,,[M+H]+,M + 0,similar chromatogram in higher mz_2027; similar chromatogram in higher mz_2015; similar chromatogram in higher mz_2018; similar chromatogram in higher mz_2038,,,,,,,999,False,False,False,,,,,,271.1226,160.97462:43 161.0592:3023 161.09528:119 161.13261:96 162.06223:310 162.98952:60 163.03709:283 163.07464:126 163.11094:73 163.13223:60 163.14725:104 164.1442:38 165.09001:141 165.1278:48 165.16181:63,51.01936:33 51.02286:150 55.01652:54 57.93503:230 65.0353:20 73.93008:197 77.03428:80 77.0403:2591 79.05464:2302 89.03831:525 90.04662:2811 91.05406:383 92.02478:203 101.04019:131 102.0448:110 103.05437:2496 105.07034:733 107.05005:61 115.05479:199 117.03159:34 117.07083:92 118.04122:4054 119.0862:76 127.05435:20 129.04437:53 131.05212:69 132.0528:97 133.06519:4476 137.96281:20 146.0741:54 161.06013:596 161.09499:101,0,0.12819199952869093
545,Unknown,15532,7.348834,7.528017,7.676567,163.0398,2482.9375,31562.869140625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,17.31671,163.03853:539 163.10988:37 163.13117:64 163.14619:26 164.04016:54 165.06753:29 165.08895:35 166.98619:20 167.10909:31 167.15344:42 167.82202:20,50.01681:37 51.02432:194 55.05367:86 55.93436:10 57.06984:137 60.98491:10 65.03854:30 77.03953:1973 79.05386:126 80.94242:18 89.05969:32 91.05511:45 92.02583:285 95.08262:22 105.03229:146 105.04334:52 105.06544:32 107.05119:47 107.08467:32 115.05703:23 117.06779:21 120.021:103 133.02802:223 135.04362:294 135.05615:10 163.03947:360,0,0.08672357599304505
2165,Unknown,19690,10.67355,10.7824,10.97902,171.1374,9350.4375,56810.51171875,,[M+H]+,M + 0,similar chromatogram in higher mz_2161; similar chromatogram in higher mz_2166,,,,,,,999,False,False,False,,,,,,153.5605,171.09764:50 171.11944:37 171.13739:2663 172.09926:25 172.1134:27 172.1417:250 172.98645:29 173.08058:265 173.09606:70 173.13217:91 173.16313:32 174.08281:22 174.12679:910 174.98028:24 174.99195:202 175.01529:32 175.07625:37 175.11257:65 175.13073:140 175.1489:325 176.10634:37,55.01509:13 55.04563:12 55.05436:617 57.03499:32 57.05499:19 57.07054:3594 59.04913:19 65.03849:13 67.05399:85 69.07174:94 71.04914:35 71.0855:14 72.04414:820 73.02847:1856 75.02566:226 77.00506:11 78.80037:7 79.05467:34 81.0694:41 83.04694:12 83.08536:180 85.06549:57 89.07165:138 93.05647:22 93.06782:12 94.0606:35 95.08541:25 97.06281:11 99.04495:114 99.11618:11 101.05994:436 104.05996:7 107.08864:11 108.08815:7 109.10049:51 114.06751:12 115.05694:14 115.07376:32 125.09518:21 127.0544:16 128.0619:31 129.06892:23 129.09232:70 141.07175:14 143.08852:15 145.0641:7 155.08661:11 156.09418:38 171.11781:13 171.13834:787,0,0.013511511607401274
1197,Unknown,18249,9.004784,9.157766,9.36545,172.1688,6317.9375,42211.7421875,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,177.8892,172.11996:102 172.13925:164 172.16883:2075 173.0575:48 173.07942:257 173.0949:445 173.13101:985 173.15294:140 173.17358:250 174.12821:199 174.99208:4133 175.07638:175 175.11011:432 175.13086:121 175.14773:1534 175.99461:143 176.11558:115 176.15071:243 176.98827:1278 177.05479:1559 177.09001:439 177.11219:153 177.12784:385 177.16307:690,55.01731:56 55.05367:203 56.04805:134 56.05759:93 57.03282:41 57.06984:927 58.0299:44 58.07396:89 60.04466:198 67.05324:81 69.06934:174 70.07013:37 71.04837:162 71.08555:172 72.04337:71 73.0478:42 74.06003:164 79.05298:21 82.06991:33 84.0874:70 85.10353:63 86.063:63 88.07625:493 93.06884:50 96.09085:20 102.09245:281 109.09443:20 116.10881:128 129.06346:33 129.07014:80 144.08826:57 157.08791:85 172.10933:54 172.16592:165 172.1685:522,0,0.018442170229816215
1527,Unknown,18414,9.129333,9.36545,9.4348,174.1294,4362.0,55663.984375,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,47.21193,174.12943:881 174.99331:106 175.01406:440 175.07501:94 175.11133:393 175.13209:195 175.14766:1038 176.11551:52 176.15063:170 176.99081:57 177.09124:225 177.11342:256 177.12647:733 177.163:969 178.06968:229 178.13247:93 178.16518:146 179.1059:377,57.07275:36 58.06569:46 65.04006:57 77.03945:62 79.05378:133 81.07027:48 84.05047:50 88.01914:77 91.05314:172 101.11905:20 105.06835:87 106.06447:139 115.05481:33 117.04434:188 117.05707:320 118.06467:634 120.07995:68 130.05415:45 130.06422:291 131.06786:98 132.08211:869 138.58415:20 142.07948:100 144.08105:421 145.08887:302 146.09544:107 146.11205:20 157.0853:43 158.09068:76 158.09686:514 159.09682:96 159.103:519 168.07817:20 172.10918:116 174.1277:1180,0,0.2127904300364101
259,Unknown,11704,4.592233,4.80595,5.012217,174.185,9564.9375,41347.12109375,,[M+H]+,M + 0,similar chromatogram in higher mz_255,,,,,,,999,False,False,False,,,,,,182.8348,174.08282:21 174.1268:88 174.18502:3378 174.99456:40 175.13075:33 175.18913:332 176.19093:32 177.05598:33 177.08859:34 177.12903:62 178.06963:18 178.1599:19 179.0665:33 179.10586:44 179.14259:49,53.03303:10 55.05363:47 57.0698:2062 58.06571:200 62.05591:13 62.05977:576 69.07011:35 71.07807:51 71.08551:717 88.02468:48 91.05223:34 106.06349:35 117.05816:116 118.06577:138 130.06425:52 132.08101:149 144.0811:97 145.08891:71 146.09785:28 156.17625:372 158.09567:124 159.10304:68 174.12775:68 174.1601:49 174.18468:834,0,0.21500523432052157
1257,Unknown,18271,8.936216,9.185516,9.42095,174.992,39596.375,193629.25,,[M+H]+,M + 0,similar chromatogram in higher mz_1291; similar chromatogram in higher mz_1261; similar chromatogram in higher mz_1263; similar chromatogram in higher mz_1265; similar chromatogram in higher mz_1267; similar chromatogram in higher mz_1272; similar chromatogram in higher mz_1274; similar chromatogram in higher mz_1276; similar chromatogram in higher mz_1278; similar chromatogram in higher mz_1280; similar chromatogram in higher mz_1281; similar chromatogram in higher mz_1282,,,,,,,999,False,False,False,,,,,,1065.288,174.99199:14669 175.11261:379 175.13078:77 175.14764:1055 175.99583:529 176.1207:45 176.14932:203 176.98949:3951 177.05601:263 177.09123:250 177.1108:197 177.12515:419 177.16299:478 177.99118:147 178.13115:63 178.16517:63 179.08227:109 179.10588:4556 179.14131:621 179.17805:73,62.96006:55 62.96239:214 80.97282:1592 88.0224:20 91.05458:124 98.98398:3693 104.05943:20 115.0553:20 129.06938:45 132.08821:20 147.12381:20 175.14894:41,0,0.16653149315237162
1259,Unknown,18271,9.073867,9.185516,9.46215,176.9896,12875.5,62398.73828125,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,344.604,176.98949:3951 177.05601:263 177.09123:250 177.1108:197 177.12515:419 177.16299:478 177.99118:147 178.13115:63 178.16517:63 179.08227:109 179.10588:4556 179.14131:621 179.17805:73 180.10959:630 180.14906:146 180.17406:2890 181.05015:312 181.08444:212 181.10027:159 181.12402:366 181.15832:390 181.1768:376,55.05337:39 57.07249:20 62.96473:57 65.03659:55 80.97371:616 93.03048:31 93.03237:81 95.04957:20 98.98398:1553 103.99244:20 119.0835:20 121.02867:233 121.10094:47 131.08292:34 149.02403:299,0,0.021018665278370437
103,Unknown,10010,3.45625,3.541883,3.673533,177.1382,9520.25,43947.203125,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,174.1708,177.13825:2676 178.14036:374,53.0402:69 55.0544:2138 56.04365:122 56.05025:2258 57.07058:60 59.04917:67 59.92925:10 67.05485:224 71.93857:10 77.03953:16 79.05299:19 81.0324:23 82.06458:96 84.08111:3591 90.00766:11 91.05323:37 93.06978:39 97.94567:10 98.9826:22 105.06745:23 119.08527:29 120.08114:26 121.02831:35 123.05665:24 131.08369:48 133.10265:34 136.12:10 149.02373:41 151.02165:8 159.11676:18,0,0.09714875349685723
1594,Unknown,18447,9.32325,9.4072,9.489516,181.1583,9421.6875,65251.54296875,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,138.321,181.08707:98 181.10026:107 181.12269:349 181.15831:2386 181.17546:69 182.13599:41 182.16113:370 182.18892:80 183.07916:369 183.11631:163 183.13886:221 183.17335:305 184.07265:487 184.16975:101 184.20434:52 185.07816:97 185.09949:98 185.11283:400 185.13284:204 185.15284:1503 186.11716:52 186.15728:169,53.03875:78 55.05437:2715 57.03279:201 57.06907:195 59.04839:78 61.02393:20 65.03693:56 65.04009:97 67.05482:618 69.07095:708 71.04999:191 77.0395:414 79.05208:134 79.05469:614 81.03236:78 81.06943:697 83.04876:219 83.06216:98 83.08539:378 85.06371:63 91.05506:272 93.06974:679 95.08544:547 97.06574:326 97.08506:48 97.09954:130 99.08011:67 105.06841:172 107.08664:473 109.10257:141 111.07944:193 115.05382:69 119.08629:89 121.09944:283 123.04355:118 123.07835:73 125.09632:115 135.07773:46 135.11761:102 138.0677:57 139.03696:67 148.12273:43 152.063:41 153.06921:90 155.05859:20 163.14832:162 165.06967:122 166.07625:55 181.06433:48 181.11842:102 181.158:61,0,0.0033333333333333335
